Abkhazia,Sukhumi,Gali,Gagra,Gudauta,Gulripshi
Afghanistan,Kabul,Herat,Kandahar,Mazar-i-Sharif,
Akrotiri and Dhekelia,Episkopi Cantonment,Limassol,Ayios Nikolaos,Ayia Napa,
Åland Islands,Mariehamn,Finström,Jomala,Lemland,Saltvik
Albania,Tirana,Vlorë,Durrës,Elbasan,Shkodër
Algeria,Algiers,Constantine,Oran,Boumerdas,
American Samoa,Pago Pago,Tafuna,Leone,Faleniu,
Andorra,Andorra la Vella,Encamp,Les Escaldes,La Massana,
Angola,Luanda,Lobito,Huambo,Benguela,
Anguilla,The Valley,North Side,Blowing Point Village,Sandy Ground Village,
Antigua and Barbuda,St. John's,Liberta,All Saints,Bolans,
Argentina,Buenos Aires,Rosario,Córdoba,Mendoza,
Armenia,Yerevan,Vanadzor,Gyumri,Vagharshapat,
Aruba,Oranjestad,Babijn,Sint Nicolaas,Angochi,
Australia,Canberra,Sydney,Melbourne,Perth,
Austria,Vienna,Linz,Graz,Salzburg,
Azerbaijan,Baku,Samqayit,Ganja,Lankaran,
Bahamas,Nassau,Lucaya,Freeport,West End,
Bahrain,Manama,Hamad Town,Riffa,Isa Town,
Bangladesh,Dhaka,Khulna,Chittagong,Rajshahi,
Barbados,Bridgetown,Oistins,Speightstown,Bathsheba,
Belarus,Minsk,Mogilev,Gomel,Vitebsk,
Belgium,Brussels,Ghent,Antwerp,Charleroi,
Belize,Belmopan,Belize City,San Ignacio,Orange Walk,
Benin,Porto-Novo,Cotonou,Parakou,Djougou,
Bermuda,Hamilton,St. George,Stovel Bay,Cross Bay,
Bhutan,Thimphu,Punakha,Phuntsholing,Tsirang,
Bolivia,Sucre,Santa Cruz de la Sierra,El Alto,La Paz,
Bosnia and Herzegovina,Sarajevo,Zenica,Banja Luka,Tuzla,
Botswana,Gaborone,Molepolole,Francistown,Maun,
Brazil,Brasília,São Paulo,Rio de Janeiro,Salvador,
Brunei,Bandar Seri Begawan,Seria,Kuala Belait,Tutong,
Bulgaria,Sofia,Varna,Plovdiv,Burgas,
Burkina Faso,Ouagadougou,Koudougou,Bobo-Dioulasso,Ouahigouya,
Burundi,Bujumbura,Ruyigi,Muyinga,Gitega,
Cambodia,Phnom Penh,Ta Khmau,Battambang,Serei Saophoan,
Cameroon,Yaoundé,Douala,Garoua,Kousséri,
Canada,Ottawa,Toronto,Montreal,Quebec City,
Cape Verde,Praia,Santa Maria,Mindelo,Cova Figueira,
Cayman Islands,George Town,Bodden Town,West Bay,East End,
Central African Republic,Bangui,Mbaïki,Bimbo,Berbérati,
Chad,N'Djamena,Sarh,Moundou,Abéché,
Chile,Santiago,Antofagasta,Puente Alto,Valparaíso,
China,Beijing,Shanghai,Tianjin,Guangzhou,
Taiwan,Taipei,Taichung,Kaohsiung,Tainan City,
Christmas Island,Flying Fish Cove,Cove City,Poon Saan,Murray,
Cocos Islands,West Island,Bantam,Home Island,East Island,
Colombia,Bogotá,Santiago de Cali,Medellín,Barranquilla,
Comoros,Moroni,Fomboni,Mutsamudu,Domoni,
Democratic Republic of the Congo,Kinshasa,Mbuji-Mayi,Lubumbashi,Kisangani,
Republic of the Congo,Brazzaville,Dolisie,Pointe-Noire,Kayes,
Cook Islands,Avarua,Omoka,Amuri,Roto,
Costa Rica,San José,Puerto Limón,Alajuela,San Francisco,
Côte d'Ivoire,Yamoussoukro,Abidjan,Bouaké,Daloa,
Croatia,Zagreb,Rijeka,Split,Osijek,
Cuba,Havana,Camagüey,Santiago de Cuba,Holguín,
Curaçao,Willemstad,Barber,Sint Michiel,Dorp Soto,
Cyprus,Nicosia,Larnaca,Limassol,Famagusta,
Czech Republic,Prague,Ostrava,Brno,Pilsen ,
Denmark,Copenhagen,Odense,Aarhus,Aalborg,
Djibouti,Djibouti,?ânan,Ali Sabieh,Tadjoura,
Dominica,Roseau,Marigot,Portsmouth,Berekua,
Dominican Republic,Santo Domingo,Santo Domingo Oeste,Santiago de los Caballeros,Santo Domingo Este,
East Timor,Dili,Same,Dare,Suai,
Ecuador,Quito,Guayaquil,Cuenca,Machala,
Egypt,Cairo,Giza,Alexandria,Port Said,
El Salvador,San Salvador,Soyapango,Santa Ana,San Miguel,
Equatorial Guinea,Malabo,Bata,Ebebiyin,Aconibe,
Eritrea,Asmara,Massawa,Keren,Assab,
Estonia,Tallinn,Narva,Tartu,Pärnu,
Ethiopia,Addis Ababa,Nazr?t,Dire Dawa,Bahir Dar,
Falkland Islands,Stanley,Port Howard,Goose Green,Port Stephens,
Faroe Islands,Tórshavn,Hoyvík,Klaksvík,Argir,
Fiji,Suva,Lautoka,Nadi,Labasa,
Finland,Helsinki,Tampere,Espoo,Vantaa,
France,Paris,Lyon,Marseille,Toulouse,
French Guiana,Cayenne,Matoury,Saint-Laurent-du-Maroni,Kourou,
French Polynesia,Papeete,Faaa,Mahina,Punaauia,
Gabon,Libreville,Franceville,Port-Gentil,Oyem,
Gambia,Banjul,Serekunda,Brikama,Bakau,
Georgia,Tbilisi,Batumi,Kutaisi,Sukhumi,
Germany,Berlin,Munich,Hamburg,Cologne,
Ghana,Accra,Tamale,Kumasi,Takoradi,
Gibraltar,Tangier,Algeciras,Ceuta,La Línea de la Concepción,
Greece,Athens,Pátrai,Thessaloniki,Piraeus,
Greenland,Nuuk,Ilulissat,Sisimiut,Qaqortoq,
Grenada,St. George's,Grenville,Gouyave,Victoria,
Guam,Hagåtña,Tamuning,Mangilao,Dededo Village,
Guatemala,Guatemala City,Mixco,Quetzaltenango,Villa Nueva,
Guernsey,Saint Peter Port,Sark,Vale,La Seigneurie,
Guinea,Conakry,Kindia,Nzérékoré,Kankan,
Guinea-Bissau,Bissau,Bafatá,Gabú,Bissorã,
Guyana,Georgetown,New Amsterdam,Linden,Anna Regina,
Haiti,Port-au-Prince,Delmas,Gonaïves,Pétionville,
Honduras,Tegucigalpa,Choloma,San Pedro Sula,La Ceiba,
Hong Kong,Victoria,Kowloon,Victoria,Tsuen Wan,
Hungary,Budapest,Miskolc,Debrecen,Szeged,
Iceland,Reykjavík,Hafnarfjordur,Kópavogur,Akureyri,
India,New Delhi,Mumbai,Chennai,Bangalore,Calcutta
Indonesia,Jakarta,Medan,Surabaya,Bandung,
Iran,Tehran,Isfahan,Mashhad,Karaj,
Iraq,Baghdad,Mosul,Basra,Erbil,
Ireland,Dublin,Limerick,Cork,Galway,
Isle of Man,Douglas,Ramsey,Onchan,Peel,
Israel,Jerusalem,Haifa,Tel Aviv,Rishon LeZion,
Italy,Rome,Naples,Milan,Turin,
Jamaica,New Kingston,Portmore,Spanish Town,Montego Bay,
Japan,Tokyo,Osaka,Yokohama,Nagoya,
Jersey,Saint Helier,Saint Clair,Saint Saviour,Saint Peter,
Jordan,Amman,Irbid,Zarqa,Russeifa,
Kazakhstan,Astana,Almaty,Karagandy,Shymkent,
Kenya,Nairobi,Nakuru,Mombasa,Eldoret,
Kiribati,Tarawa,Betio,Bairiki,Bikenibeu,
North Korea,Pyongyang,Namp’o,Hamhung,H?ngnam,
South Korea,Seoul,Incheon,Busan,Daegu,
Kosovo,Pristina,,Prizren,,
Kuwait,Kuwait City,,Al Jahra,,
Kyrgyzstan,Bishkek,,Osh,,
Laos,Vientiane,,Pakxe,,
Latvia,Riga,,Daugavpils,,
Lebanon,Beirut,,Tripoli,,
Lesotho,Maseru,,Teyateyaneng,,
Liberia,Monrovia,,Gbarnga,,
Libya,Tripoli,,Benghazi,,
Liechtenstein,Vaduz,Schaan,Vaduz,,
Lithuania,Vilnius,,Kaunas,,
Luxembourg,Luxembourg City,,Esch-sur-Alzette,,
Macedonia,Skopje,,Bitola,,
Madagascar,Antananarivo,,Toamasina,,
Malawi,Lilongwe,,Blantyre,,
Malaysia,Kuala Lumpur,,George Town,,
Maldives,Malé,,Addu City,,
Mali,Bamako,,Sikasso,,
Malta,Valletta,Birkirkara,Mosta,,
Marshall Islands,Majuro,Ebeye,Rita,,
Mauritania,Nouakchott,,Nouadhibou,,
Mauritius,Port Louis,,Beau Bassin-Rose Hill,,
Mayotte,Mamoudzou,,Dzaoudzi,,
Mexico,Mexico City,,Ecatepec,,
Federated States of Micronesia,Palikir,Weno,Palikir,,
Moldova,Chisinau,,Tiraspol,,
Monaco,Monaco,Monte Carlo,La Condamine,,
Mongolia,Ulaanbaatar,,Darkhan,,
Montenegro,Podgorica,,Nikšic,,
Montserrat,Brades[Note 2],,Saint Peter's,,
Morocco,Rabat,Casablanca,Fez,,
Mozambique,Maputo,,Beira,,
Myanmar,Nay Pyi Taw,Yangon,Mandalay,,
Nagorno-Karabakh,Stepanakert,,Shusha,,
Namibia,Windhoek,,Rundu,,
Nauru,Yaren,,Denigomudu,,
Nepal,Kathmandu,,Pokhara,,
Netherlands,Amsterdam,,Rotterdam,,
New Caledonia,Nouméa,,Wé,,
New Zealand,Wellington,Auckland,Wellington,,
Nicaragua,Managua,,León,,
Niger,Niamey,,Zinder,,
Nigeria,Abuja,Lagos,Kano,,
Niue,Alofi,,Hakupu,,
Norfolk Island,Kingston,Burnt Pine,Kingston,,
Northern Mariana Islands,San Antonio[Note 3],,Garapan[Note 3],,
Norway,Oslo,,Bergen,,
Oman,Muscat,,Salalah,,
Pakistan,Islamabad,Karachi,Lahore,,
Palau,Ngerulmud,Koror,Airai,,
State of Palestine,East Jerusalem,Gaza City,Hebron,,
Panama,Panama City,,Colón,,
Papua New Guinea,Port Moresby,,Lae,,
Paraguay,Asunción,,Ciudad del Este,,
Peru,Lima,,Arequipa,,
Philippines,Manila,Quezon City,Manila,,
Pitcairn Islands,Adamstown,,,,
Poland,Warsaw,,Kraków,,
Portugal,Lisbon,,Porto,,
Puerto Rico,San Juan,,Bayamón,,
Qatar,Doha,,Al Rayyan,,
Romania,Bucharest,,Cluj-Napoca,,
Russia,Moscow,,Saint Petersburg,,
Rwanda,Kigali,,Gitarama,,
Saint Barthélemy,Gustavia,,St. Jean,,
Saint Helena,Jamestown,Half Tree Hollow,Jamestown,,
Saint Kitts and Nevis,Basseterre,,Charlestown,,
Saint Lucia,Castries,,Gros Islet,,
Saint Martin,Marigot,,Rambaud,,
Saint Pierre and Miquelon,Saint-Pierre,,Miquelon,,
Saint Vincent and the Grenadines,Kingstown,,Georgetown,,
Samoa,Apia,,Vaitele,,
San Marino,San Marino,Dogana,Borgo Maggiore,,
São Tomé and Príncipe,São Tomé,,Trindade,,
Saudi Arabia,Riyadh,,Jeddah,,
Senegal,Dakar,,Touba,,
Serbia,Belgrade,,Novi Sad,,
Seychelles,Victoria,,Anse Etoile,,
Sierra Leone,Freetown,,Bo,,
Singapore,Singapore,,,,
Sint Maarten,Prince's Quarter,,Cul De Sac,,
